id,name,spring_quality,place,location,charactor,have_family_bath,address,telephone_number,price,holiday,budiness_time,is_child_bathing,parking,image,spa_url,ひとこと,家族風呂情報,lat,lng,place_id,photo_no
,祇園温泉,0,1,0,4,FALSE,大分県別府市朝見３丁目９−５,なし,100円,なし,6:00～11:00／13:00～23：00、第1～第4日曜6:00～23：00,TRUE,2台,,,,,33.27329,131.4904,ChIJI0GQQ42mRjURgLI9sgFlsqI,0
,東蓮田温泉,0,1,0,4,FALSE,大分県別府市浜脇３丁目２−２７,090-9659-9080,100円,なし,7:00〜受付22:30,TRUE,なし,,,神経痛や筋肉痛、五十肩、冷え症、不眠症などに効能あり。源泉温度が高く、井戸水で調節できるようになっている。,,33.26993,131.50386,ChIJq6rm9MCmRjURLIcekKd57Fw,7
,朝見温泉,0,1,0,4,FALSE,大分県別府市朝見２丁目３−２５,なし,100円,年末年始,"6:00〜12:00／14:00〜23:00　日曜、祝日7:00～12：00/14：00～22:0
",TRUE,なし,,,,,33.27285,131.49667,ChIJE9y_XeumRjURMjAV6O2swkg,0
,茶房たかさき,0,1,0,4,FALSE,大分県別府市朝見1-2-11,0977-23-0592,カフェ利用者のみ使用可能（入浴料は無料）,不定休,10時～17時,TRUE,5台,,,カフェのオーナーが自宅の温泉を開放し、カフェや食事をすれば無料で入浴ができます。,,33.27147,131.49999,ChIJnezG6uqmRjUR_psLbHLkkAE,5
,八幡温泉,0,1,0,4,FALSE,大分県別府市朝見１丁目１７−１２,なし,100円,なし,6:00〜12:00／14:00〜23:00,TRUE,1台,,,,,33.27139,131.4974,ChIJ__-zSuumRjURlYSnF68OD2s,8
,東町温泉,0,1,0,4,FALSE,大分県別府市浜脇１丁目１６−１,0977-21-1267,100円,なし,5：30〜受付22:30,TRUE,4台,,,,,33.26824,131.50995,ChIJxTlqtsemRjURgp2ddnqNevQ,1
,山田温泉,0,1,0,4,FALSE,大分県別府市朝見１丁目１２−９,なし,100円,なし,6:00～9：00／11：00～23:00,TRUE,なし,,,,,33.27065,131.49937,ChIJsZGb0uqmRjURtwRc6y-AH_Q,1
,日の出温泉,0,1,0,4,FALSE,大分県別府市浜町２２−１０,なし,200円,なし,6:30〜12:00／14:30〜深夜0:00,TRUE,10台,,,,,33.27108,131.50844,ChIJq6ouhMamRjURqZL1Cl3dRA4,1
,浜脇温泉,0,1,0,4,FALSE,大分県別府市浜脇１丁目８−２０,0977-25-8118,大人200円　小人100円,第３月曜日,6:30〜14:00　15:00～深夜1:00,TRUE,有料Pあり,,,,,33.27,131.50817,ChIJ9_wvXMamRjURxbYgmTW_XZc,1
,平田温泉,0,2,0,4,FALSE,大分県別府市照波園町１０−２７,なし,120円,月曜,7:00〜9:00、15:00〜21:50,TRUE,なし,,,,,33.31886,131.49491,ChIJuVreX2-nRjURnl2Lz3cLKn4,5
,亀川筋湯温泉,0,2,0,4,FALSE,大分県別府市亀川中央町4-16,なし,お賽銭（お気持ち）,,7:00〜19:00,TRUE,なし,,,夏場は水温が高い場合が多く、加水ができないため、火傷しないよう、よく温度を確認してから入るようにしてください。,,33.32531,131.49366,ChIJzZPgCmOnRjURjz4Ce6x-0ZI,9
,亀陽泉,0,2,0,4,FALSE,大分県別府市亀川中央町１０−２６,0977-66-2666,大人 250円、小人 100円,第1水曜日（祝日の場合翌日）,6：30～22：30　※13：00～14：00までの1時間は清掃時間のため、入館・入浴はできません。,TRUE,駐車場3台（うち身障者等用駐車場1台）,,https://www.city.beppu.oita.jp/sisetu/shieionsen/kiyosen.html,,,33.32629,131.49441,ChIJBdOHTWKnRjURM-6bogRugOo,3
,競輪温泉,0,2,0,4,FALSE,大分県別府市亀川東町1-12,0977-67-2626,小学生以上110円,毎月１０日、２０日,7:00〜22:00,TRUE,約1000台,,,亀川の別府競輪場内にある温泉です。お子さん連れでも競輪観戦等しなくても入浴できます。,,33.3213,131.49912,ChIJubdkL2enRjUR-10Zwyl_yH8,2
,四の湯温泉,0,2,0,4,FALSE,大分県別府市亀川四の湯町２０−４,なし,200円,毎月5・15・25日,7:00〜10:30（受付10：15）14：30〜22:00（受付21：45）,TRUE,5台,,,近くに鬼滅の刃の聖地、八幡竈門神社があります。温泉と一緒に行ってみては。,,33.32252,131.49303,ChIJAQD072SnRjUR8ORLi00NvRU,0
,亀川マリーナの湯,1,2,1,3,FALSE,大分県別府市亀川東町20-45,0977-85-7033,大人 500円、小人 300円,木曜日,10:00～15:00　※最終受付 14:30,TRUE,40台,,http://kamegawa-marina.com/,施設内にレストランがあり、「関アジ関サバ」を始めとした大分の名産を食べることができるので、ぜひ温泉と一緒に楽しんでみてください。,,33.32617,131.49708,ChIJTYxdiyunRjUReYvnmNWWy-4,1
,入江温泉,1,2,0,4,FALSE,大分県別府市亀川浜田町１２−３６,なし,100円,なし,(10～3月)7:00〜10:00、12:00〜22:00 (4～9月)6:00〜10:00、12:00〜22:00,TRUE,5台,,,,,33.33482,131.49391,ChIJAQBc4o4dRDURBVhN1fJi584,0
,かっぱの湯,1,2,0,1,FALSE,大分県別府市汐見町３−１７,0977-21-0600,440円,不定（毎月１回）,12:00～翌朝9：00、土・日曜、祝日24時間,TRUE,80台,,https://beppu-kappanoyu.com/,7つの湯船と3種類のサウナを楽しめます。全部入るもヨシ、気分によって選んで入るのも楽しいですね。,,33.30613,131.50072,ChIJ__8vaBWnRjURRTLUOlsZhGk,0
,前田温泉,1,2,0,4,FALSE,大分県別府市上人本町１−２１,なし,200円,不定,8：00～20:00,TRUE,なし,,,,,33.31276,131.49752,ChIJeRqa3WunRjURvUFhqEUUAlo,1
,浜田温泉,1,2,0,4,FALSE,大分県別府市亀川浜田町991番地6,0977-67-2619,大人200円　小人100円,第１木曜日,6:30〜12：00 /13:00～22:30,TRUE,28台（障害者等1台含む）,,https://www.city.beppu.oita.jp/sisetu/shieionsen/detail10.html,従来の市営温泉よりも、高齢者の方が利用しやすいように配慮した設計になっています。,,33.3299,131.49464,ChIJkQKvtokdRDUR0EAhtokYxHM,1
,おやど湯の丘,3,3,2,5,TRUE,大分県別府市小倉４−１,0977-21-2414,１室　2000円（４名まで）,木曜日,10：00～22：00（15時以降は要問合せ）,TRUE,15台,,https://hpdsp.jp/yunooka/,,"雰囲気最高な貸切湯（露天:3つ, 内湯:2つ）があります。旅館のお風呂のため、必ずお問い合わせをお願いします。",33.30808,131.46308,ChIJmZsIpLWnRjURnOPl4rST8fI,5
,別府鉄輪温泉やまなみの湯,0,3,0,1,TRUE,大分県別府市北中7−２,0977-67-4126,大人 480円、小人 220円,なし,12：00 ~ 翌8 : 40（月2回月曜日は15:00より開店）土日、祝日は24時間営業,TRUE,700台,,http://diamondgroup.co.jp/yamanaminoyu/beppu/,多数の湯船と3種類のサウナが楽しめます。,料金は 2000円〜/1時間 となってます。サウナ付きの貸切湯もあるので、プライベート空間でサウナを楽しみたい方はぜひ利用してみては。,33.31176,131.48204,ChIJZW7cPgqnRjUR560EFlFLWIw,5
,大分香りの博物館ハーブガーデン足湯,0,3,2,6,FALSE,大分県別府市北石垣４８−１,0977-27-7272,無料 ※博物館入館者、ミュージアムショップ、カフェ・サ・サンボン利用者に限る,12/31、1/1～1/31,10:00～16:30,TRUE,約20台,,http://oita-kaori.jp/,大分香りの博物館では、香水や香水の歴史等学ぶことができます。また、調香体験もできるので別府での思い出作りにぜひ行ってみてはいかがでしょうか。,,33.31211,131.48878,ChIJ6diaKg2nRjURP8cM3T0AzJ0,0
,和の宿 夢月,0,3,0,5,TRUE,大分県別府市小倉３組 ,0977-27－2888,"大人1,000円　小学生500円",不定,10:00〜16:00,TRUE,40台,,http://beppu-mutsuki.com/,広い内風呂、露天風呂に入浴できます。,"貸切湯の料金は2,900円/1時間です。5つの趣向を凝らしたお風呂を堪能できます。しかし、予約制ではありませんので、ご確認をお願いいたします。",33.30894,131.46212,ChIJIVdC7LWnRjURGkg8xh-87-8,2
,別府 おぐら,0,3,0,5,TRUE,大分県別府市小倉１−３,0977-21-6123,"45分1,500～ 2,000 円（3名様まで）",なし,受付 10：30～ 21：00（15：00 ～ 18：00 宿泊者優先時間）,TRUE,30台,,https://www.beppu-ogura.com/,美肌効果の高い、メタケイ酸723mgを含み、ブルーから乳白色に移り変わる幻想的な温泉を楽しむことができます。,立ち寄りは７つある貸切風呂から選べ、特に「照湯」は条件が揃うと、コバルトブルーに色づく美しい湯が見られます。,33.30608,131.46085,ChIJbSOLf7WnRjURZLivS7NI-O8,2
,大黒屋,0,3,0,3,TRUE,大分県別府市鉄輪上３,0977-66-2301,300円,なし,11:00〜15:00（要問合せ）,TRUE,5台,,https://kannawaonsen.com/stay/daikokuya/,観光で人気の鉄輪エリアで、地獄蒸しも体験することができます。体験したい方は事前に大黒屋さんに確認をお願いします。,温泉は貸切湯1つのみ。宿泊の方もいて、入浴不可の日もあるとのことので、必ずお問い合わせをお願いします。,33.31689,131.47742,ChIJ4xQ0Q5-nRjUR5TVZs2Hh3gs,7
,旅館入船荘,0,3,0,5,TRUE,大分県別府市井田１組,0977-66-0655,貸切湯2000円,なし,11:00〜15:00（要問合せ）,TRUE,5台,,https://www.irfnso.ne.jp/,,貸切湯には、お子さんのためのおもちゃも置いてくれています。,33.31716,131.47867,ChIJDTSon5-nRjUR0Ct87EyNtoU,3
,小倉薬師温泉丘の湯,0,3,0,4,FALSE,大分県別府市小倉１６１０,なし,200円,なし,6:00〜22:00,TRUE,なし,,,,,33.3088,131.46377,ChIJ__l1fbanRjURyggy88EWfBE,4
,鉄輪むし湯,0,3,0,2,FALSE,大分県別府市鉄輪上1組,0977-67-3880,700円　貸浴衣220円,第4木曜（祝日の場合は翌日）,6:30〜20：00（最終受付19：30）,FALSE,13台,,https://kannawaonsen.com/%E7%89%B9%E9%9B%86/1371/,浴衣を着て、薬草・石菖（せきしょう）の上に寝転んで（岩盤浴に似ている）入浴。お子さんはむし湯には入れません。,,33.31634,131.47799,ChIJtXxq2KGnRjURLEgHj-oqZao,1
,おにやまホテル,1,3,1,0,FALSE,大分県別府市鉄輪３３５−１,0977-66-1121,大人800円、小人(4歳～小学生)400円,不定,15：00～17：00,TRUE,要問い合わせ,,https://www.oniyama-hotel.co.jp/,地獄巡りの「鬼山地獄」が源泉の温泉です。,,33.31503,131.47307,ChIJTRShcqOnRjUREmci228XZc4,9
,地熱観光ラボ縁間,1,3,0,5,TRUE,大分県別府市字鉄輪 風呂本２２８−１,0977-75-9592,足湯無料※食事または家族湯利用の方のみ,基本月曜日（HPにお知らせとして記載）,10:00～22:00 ※要確認,TRUE,6台,,https://enma-ch.com/,地獄蒸しや竹細工、温泉染めの体験ができます。温泉と一緒に別府での思い出を作っていってください。,家族湯利用2500円/60分です。,33.31476,131.47728,ChIJoZgzmaGnRjURXDB-RBagRLM,9
,かまど地獄足湯,1,3,2,6,FALSE,大分県別府市鉄輪６２１,0977-66-0178,400円（かまど地獄入場料）,なし,8:00～17:00,TRUE,13台,,https://kamadojigoku.com/,地獄巡り「かまど地獄」の中にある足湯です。日の差し方によって綺麗なコバルトブルーのお湯が見られます。,,33.31629,131.4726,ChIJXSZlL8anRjURdFlfxbNcR0s,7
,もと湯の宿黒田や,1,3,0,3,TRUE,大分県別府市鉄輪 御幸3組,0977-66-9656,平日 500円（中学生以上）/ 250円（3歳以上）、土日祝 700円（中学生以上）/ 350円（3歳以上）,なし,11:00〜23：00最終受付22:00,TRUE,30台,,https://www.kurodaya.info/,,60分あたり1600円〜の内風呂、2100円〜の露天風呂付の2種類、4つずつの貸切湯があります。（ http://miyukinoyu.com/ ）,33.31443,131.47409,ChIJn43-eKGnRjURAINAlsyFtHM,2
,鬼石坊主地獄足湯,1,3,0,6,FALSE,大分県別府市鉄輪５５９−１,0977-27-6655,400円（鬼石坊主地獄入場料）,なし,8:00〜17:00,TRUE,40台,,https://oniishi.com/,地獄巡り「鬼石坊主地獄」の中にある足湯です。,,33.31072,131.46387,ChIJaQeFe7unRjURPBO8QXiwLyE,8
,海地獄足湯,1,3,0,6,FALSE,大分県別府市鉄輪５５９−１,0977-66-0121,450円（海地獄入場料）,なし,8:00〜17:00,TRUE,200台,,http://www.umijigoku.co.jp/,地獄巡り「海地獄」の中にある、地獄の源泉100%掛け流しの足湯です。,,33.31578,131.46927,ChIJc583ebynRjURS8fjmQGr0HU,1
,谷の湯,1,3,0,4,FALSE,大分県別府市北中 北中公民館,なし,150円,なし,6:30〜21:30,TRUE,10台,,,歴史を感じるこの温泉は、江戸の天保時代から愛されているそうです。,,33.31461,131.47761,ChIJAQAboqGnRjUR1B_N6IwTus8,0
,鉄輪すじ湯温泉,1,3,0,4,FALSE,大分県別府市井田,なし,100円,なし,6:30〜20：00,TRUE,なし,,,,,33.31655,131.47858,ChIJ___UeJ-nRjUReMn-TOAEWu4,6
,絶景の宿 さくら亭,1,3,1,3,TRUE,大分県別府市鉄輪上１０６３−１,0977-27-6747,"大人1,000円　小学生500円",なし,10:00〜16:00（事前のお問い合わせをお願いします）,TRUE,20台,,http://beppu-sakuratei.com/,展望大浴場は別府湾、高崎山を望む絶景を見ることができます。,"時間60分 / 料金2,900円で入れる貸切湯7つは、どれも展望露天風呂となっていて、別府の絶景を見ながら入浴できます。",33.31886,131.47511,ChIJ07NywJinRjURPWHHxPm5xv8,6
,湯けむりの里東屋,1,3,1,1,FALSE,大分県別府市鉄輪上１０２９−１,0977-27-7547,"大人1,000円　小学生500円",月曜日,10:00〜16:00,TRUE,9台,,http://beppu-azumaya.com/,別府湾を望む半露天風呂に、サウナも楽しむことができます。,,33.31795,131.47703,ChIJTTihR5-nRjURO9jMNk9MfHU,3
,鬼石の湯,1,3,2,5,TRUE,大分県別府市鉄輪５５９番地の１,0977-27-6656,620円,毎月１日（土・日、祝日の場合は翌平日）,10:00〜受付21:30,TRUE,40台,,https://oniishi.com/oniishi-no-yu/,鬼石坊主地獄の横にある温泉です。内湯、露天風呂も素晴らしいのはさることながら、展望風呂の開放感が最高です。,"60分 / 2,000円(4名まで)で入れる貸切湯は5種類あります。予約はできないので、ネットで空き状況を確認してください。",33.3152,131..46873,ChIJ5dWIg7unRjURf7_FKlIhTOw,4
,温泉閣,1,3,0,0,FALSE,大分県別府市風呂本 1組,0977-66-1767,大人500円　子供300円,繁忙日不可,10:00〜15:00,TRUE,8台,,http://onsenkaku.sakura.ne.jp/,建物の一画にカフェを併設しており、ここのプリン、コーヒーは絶品。ぜひ立ち寄ってみてください。,,33.31614,131.47709,ChIJEY8S76GnRjURQTEhDXXDzow,2
,湯快リゾートプレミアム ホテル風月,1,3,0,3,FALSE,大分県別府市 北中1組,0570-550-078,"大人 1,100円（土日祝,繁忙期は1,600円）",なし,9:00～23:00,TRUE,150台,,https://yukai-r.jp/fugetsu/,ホテル風月の大浴場と一緒に、温浴施設「夢たまて筥」の料金も含まれています。,,33.31451,131.47834,ChIJZ2HGr6GnRjURARdDy4tqJ0Y,7
,ひょうたん温泉,1,3,0,2,TRUE,大分県別府市鉄輪１５９−２,0977-66-0527,大人880円 小人(7~12歳)380円 幼児(4~6歳)260円 3歳以下無料,年2～3回臨時休業,9:00〜深夜1:00,TRUE,80台,,https://www.hyotan-onsen.com/,別府でも珍しい「砂湯」、その他にも瀧湯や温泉の蒸気を利用したスチームサウナ等様々な温泉を楽しむことができます。,"60分コース 2,400円(税込)〜時間、価格ともにコースが用意されています。ご予約はお電話から。",33.31433,131.47932,ChIJs2I_T6CnRjURD8eN4NRbgXs,9
,熱の湯温泉,1,3,0,4,FALSE,大分県別府市鉄輪上,なし,無料,なし,6:30〜21:00,TRUE,13台（車イス利用者用台含む）,,https://www.city.beppu.oita.jp/sisetu/shieionsen/detail12.html,地元民、観光客にも大人気の無料で入れる温泉。,,33.31724,131.47849,ChIJ_TURdJ-nRjURA7atgkZhh10,6
,渋の湯,1,3,0,4,FALSE,大分県別府市風呂本１６,なし,100円(必ずコインロッカーを利用),なし,9：00〜17：00     （組合員以外の方）,TRUE,なし,,,入必ずコインローカーを使用することが、入浴の条件として決められています。,,33.31599,131.47758,ChIJUwkhQb6nRjURS1u_h04vf94,1
,癒しの宿 彩葉,4,3,0,3,FALSE,大分県別府市鉄輪上6組,0977-67-1680,"大人1,000円 小人500円",不定　要問合せ,10:00〜16:00,TRUE,15台,,http://beppu-iroha.com/,,,33.31745,131.47643,ChIJVw66DqKnRjURkgsGquiT4Ao,6
,向原温泉,0,4,0,4,FALSE,大分県別府市南立石 2区6組,なし,150円,なし,6：00～9：00/11：00～22：00,TRUE,3台,,,別府ICからのアクセスが良いです。駐車場もあるので、車でお越しの方におすすめのジモ泉です。,,33.29036,131.46841,ChIJVVUMrEWmRjURYjns76tzd5Y,8
,別府ラクテンチ 絶景の湯,1,4,1,2,FALSE,大分県別府市乙原３,0977-22-1301,1300円(ラクテンチ入園料),基本火曜、冬季休園あり,9：30～16：00(最終受付15：00),TRUE,700台(300円),,https://rakutenchi.jp/,遊園地「別府ラクテンチ」内にある別府湾を一望できる温泉です。入園者は無料で入れるので、楽しんだ後は温泉で疲れを癒しましょう,,33.27603,131.48236,ChIJpTFex9CnRjURPmxz1HFwHog,2
,杉乃井ホテル 棚湯,1,4,1,0,FALSE,大分県別府市観海寺１,0977-24-1141,現在、営業停止中,現在、営業停止中,9:00〜受付22：00,TRUE,1400台,,https://suginoi.orixhotelsandresorts.com/,水着で楽しめる温泉「アクアガーデン」の料金込みです。,,33.28576,131.47198,ChIJIY8ZJVymRjURieTwFhgLPQQ,9
,いちのいで会館,1,4,1,0,FALSE,大分県別府市上原14-2,0977-21-4728,大人700円　小人（4歳から小学生）300円　幼児（3歳未満）無料,不定休,平日 11：00～17：00 土日祝 10：00～17：00,TRUE,25台,,https://ichinoide-kaikan.jimdofree.com/,別府湾を一望できるコバルトブルーの青湯が楽しめます。,,33.27848,131.48106,ChIJ69O4RfWmRjUR3TCIwjUsaB8,0
,堀田温泉,0,5,0,4,FALSE,大分県別府市堀田 南立石５５６ー４,0977-24-9418,大人300人　小人100円,第1水曜（祝日の場合は翌日）,6:30〜22:30,TRUE,30台（車イス利用者用2台含む）,,,,,33.28853,131.46102,ChIJY2ZCJECmRjURIA75c2Unk1w,2
,さわやか 別府の里,2,5,0,3,TRUE,大分県別府市堀田４−２,0977-26-1117,500円,なし,10：00～23：00,TRUE,50台,,https://www.sawayaka-hotel.jp/beppunosato/,,"60分 / 1,935円の貸切湯は露天風呂で完全お湯入替制となっています。",33.29234,131.45834,ChIJ9ajKKDmmRjURkFapyfn2TgY,2
,桜湯,2,5,0,5,TRUE,大分県別府市堀田4-2,0977-25-8431,"500円, 土日祝 700円",なし,平日11:00～23：00（最終受付22：00）土日祝 10：00～23：00（最終受付22：00）,TRUE,60台,,https://www.sakurayu.net/,桜湯のお湯には、メタケイ酸や炭酸水素イオンが豊富に含まれており、美肌効果も期待できます。,"60分 / 2,000円からの貸切湯は、20種類あり、岩風呂や檜、釜など気分によって様々お風呂を楽しめます。",33.29235,131.45931,ChIJHWUDMzmmRjURj5xIjUf_MxU,0
,夢幻の里春夏秋冬,3,5,2,5,TRUE,"大分県別府市堀田6組
",0977-25-1126,大人700円、小人300円,不定休　全露天のため天候不順な場合はお休み,午前10:00～午後17:00（最終受付16:00）,TRUE,15台,,http://mugen-no-sato.com/,成分によって白濁するお湯は、日によって湯の色が違うらしい？,平日60分土日祝50分 / 2500円からの貸切湯は全部で5種類。中にはすぐ近くに滝のある温泉も。,33.28538,131.46231,ChIJu_0MpGqmRjURhjSrNpdM8Sc,3
,柴石温泉,0,6,0,4,TRUE,大分県別府市野田4組,0977-67-4100,大人300円、小人100円,第2水曜日（祝日の場合は翌日）,【普通浴】7：00～20：00【家族湯】9：00～20：00 （最終受付19：00）,TRUE,35台,,https://www.city.beppu.oita.jp/sisetu/shieionsen/detail13.html,熱湯、ぬる湯に蒸し湯も楽しめます。,現在休止中。,33.32569,131.47305,ChIJl_DR8JqnRjUREpkA9rLUiXo,9
,長泉寺薬師乃湯,5,6,0,4,FALSE,大分県別府市野田4-2,0977-66-4013,お賽銭（玄関にて署名が必要）,不定,10:00〜16:00,TRUE,5台,,,長泉寺というお寺の中にある温泉。湯船が一つしかなく、貸切制となっています。誰かが入っている場合は待ちましょう。,,33.32792,131.48083,ChIJR8vFoEenRjUR0uoXpRNEAPM,3
,血の池地獄足湯,6,6,0,6,FALSE,大分県別府市亀川７７８,0977-66-1191,450円（施設入場料）,なし,8:00〜17:00,TRUE,150台,,https://chinoike.com/,地獄巡り「血の池地獄」の中にある足湯です。地獄と同じ温泉成分で鉄を多く含んでいます。,,33.32734,131.47859,ChIJBYm1mGqnRjURThTbPnCs1qE,5
,明礬地獄の足湯,5,7,2,6,FALSE,大分県別府市明礬1組,なし,200円（施設入場料）,なし,8：30～17：30,TRUE,岡本屋売店Pを利用,,,,,33.31827,131.45244,ChIJXSBddz-nRjURzRYVZ6VhMaM,0
,別府温泉保養ランド,5,7,2,2,FALSE,大分県別府市明礬5組紺屋地獄,0977-66-2221,"1,500円",なし,9:00〜20:00(最終受付19：00～）,TRUE,200台,,https://hoyoland.net/,コロイド湯や泥湯のある屋内と泥湯のある露天とに分かれています。また、露天は混浴となっています。別府でも珍しい泥湯をぜひ体験してみてください。,,33.31547,131.45838,ChIJhxPsLsanRjURdWjBjMRduPM,1
,湯元屋旅館,6,7,2,5,TRUE,大分県別府市明礬１２１４,0977-66-0322,一人500円,土日祝日・混雑時は不可,10:00〜20：00（受付19：00）　※宿泊者優先,TRUE,3台,,http://www.yumotoyaryokan.jp/,異なる二種の源泉の貸切湯があります。一人500円とかなりリーズナブルなお値段設定です。,,33.31774,131.45347,ChIJ_WxIe8WnRjURgYKItN0cM8g,1
